011	Colture non permanenti
012	Colture permanenti
013	Materiali di moltiplicazione: piante vive, bulbi, tuberi e radici, talee e marze, bianco di funghi (micelio)
014	Animali vivi e prodotti di origine animale
016	Servizi connessi all'agricoltura e alla zootecnia, esclusi i servizi veterinari
017	Caccia e cattura di animali e servizi associati
021	Piante forestali e servizi vivaistici
022	Legno grezzo
023	Prodotti vegetali di bosco diversi dal legno
024	Servizi di supporto per la silvicoltura
030	Pesci ed altri prodotti della pesca, prodotti dell'acquacoltura, servizi di supporto per la pesca
051	Antracite
052	Ligniti
061	Petrolio greggio
062	Gas naturale, liquefatto o allo stato gassoso
071	Minerali di ferro
072	Minerali di metalli non ferrosi
081	Pietra, sabbia e argilla
089	Prodotti delle miniere e delle cave nca
091	Servizi di supporto per l'estrazione di petrolio e di gas naturale
099	Servizi di supporto per l'estrazione di altri minerali e prodotti di cava
101	Carni conservate e prodotti a base di carne
102	Preparazioni e conserve di pesce, crostacei e molluschi
103	Preparazioni e conserve di frutta e ortaggi
104	Oli e grassi vegetali e animali
105	Latte e latticini
106	Prodotti della macinazione, amidi e fecole
107	Prodotti farinacei e di panetteria
108	Altri prodotti alimentari
109	Alimenti per animali
110	Bevande
120	Prodotti a base di tabacco
131	Filati, anche per cucire
132	Tessuti
133	Servizi di finissaggio dei tessili
139	Altri prodotti tessili
141	Articoli di abbigliamento, esclusi gli articoli in pelliccia
142	Articoli in pelliccia
143	Articoli di maglieria
151	Cuoio conciato e ulteriormente lavorato, articoli da viaggio, borse, marocchineria e selleria, pellicce apprettate e tinte
152	Calzature
161	Legno segato e piallato
162	Prodotti in legno, sughero, paglia e materiali da intreccio
171	Pasta da carta, carta e cartone
172	Articoli di carta e di cartone
181	Servizi di stampa e servizi connessi alla stampa
182	Servizi di riproduzione di supporti registrati
191	Prodotti di cokeria
192	Prodotti petroliferi raffinati
201	Prodotti chimici di base, fertilizzanti e composti azotati, materie plastiche e gomma sintetica in forme primarie
202	Pesticidi e altri prodotti chimici per l'agricoltura
203	Pitture, vernici e smalti, inchiostri da stampa e mastici
204	Saponi e detergenti, prodotti per la pulizia e la lucidatura, profumi e prodotti per toletta
205	Altri prodotti chimici
206	Fibre sintetiche e artificiali
211	Prodotti farmaceutici di base
212	Medicinali e preparati farmaceutici
221	Articoli in gomma
222	Prodotti in materie plastiche
231	Vetro e prodotti in vetro
232	Prodotti refrattari
233	Materiali da costruzione in terracotta
234	Altri prodotti in porcellana e in ceramica
235	Cemento, calce e gesso
236	Prodotti in calcestruzzo, cemento o gesso
237	Pietre tagliate, modellate e finite
239	Altri prodotti della lavorazione di minerali non metalliferi
241	Ferro, ghisa e acciaio di prima trasformazione e ferroleghe
242	Tubi e profilati cavi in acciaio e relative guarnizioni
243	Altri prodotti della prima trasformazione dell'acciaio
244	Metalli preziosi di base e altri non ferrosi
245	Servizi di fusione dei metalli
251	Costruzioni metalliche
252	Cisterne, serbatoi e recipienti di metallo
253	Generatori di vapore (escluse le caldaie ad acqua calda per il riscaldamento centrale)
254	Armi e munizioni
255	Servizi di fucinatura, imbutitura, stampaggio e profilatura dei metalli, metallurgia delle polveri
256	Servizi di trattamento e di rivestimento dei metalli, lavorazione meccanica
257	Articoli di coltelleria, utensili e oggetti diversi, in metallo
259	Altri prodotti in metallo
261	Componenti e schede elettronici
262	Elaboratori elettronici e unità periferiche
263	Apparecchiature per le comunicazioni
264	Elettronica di consumo
265	Apparecchi di misurazione, prova e navigazione, orologi
266	Apparecchi elettromedicali, apparecchi per irradiazione e per elettroterapia
267	Strumenti ottici e attrezzature fotografiche
268	Supporti ottici e magnetici
271	Motori, generatori e trasformatori elettrici e apparecchi per la distribuzione e il controllo dell'elettricità
272	Batterie ed accumulatori
273	Cavi, spine, prese e connettori
274	Apparecchi elettrici per l'illuminazione
275	Apparecchi domestici
279	Altri apparecchi elettrici
281	Macchine di impiego generale
282	Altre macchine di impiego generale
283	Macchine per l'agricoltura e la silvicoltura
284	Macchine per la formatura dei metalli e macchine utensili
289	Altre macchine per impieghi speciali
291	Autoveicoli
292	Carrozzerie per autoveicoli, rimorchi e semirimorchi
293	Parti ed accessori per autoveicoli
301	Navi e imbarcazioni
302	Locomotive e materiale rotabile ferrotranviario
303	Aeromobili, veicoli spaziali e relativi dispositivi
304	Veicoli militari da combattimento
309	Mezzi di trasporto nca
310	Mobilio
321	Gioielli e articoli di oreficeria e bigiotteria
322	Strumenti musicali
323	Articoli sportivi
324	Giochi e giocattoli
325	Strumenti e accessori utilizzati in medicina e odontoiatria
329	Manufatti nca
331	Servizi di riparazione di prodotti in metallo, macchinari e apparecchi
332	Servizi di installazione di macchinari e apparecchi industriali
351	Servizi di trasporto e distribuzione di energia elettrica
352	Gas manifatturati, servizi di distribuzione di combustibili gassosi mediante condutture
353	Servizi di fornitura di vapore e aria condizionata
360	Acqua naturale, servizi di trattamento delle acque e di produzione e distribuzione d'acqua
370	Servizi di smaltimento delle acque di scarico, fanghi di depurazione
381	Rifiuti, servizi di raccolta dei rifiuti
382	Servizi di trattamento e smaltimento dei rifiuti
383	Servizi di recupero dei materiali, materie prime secondarie
390	Servizi di decontaminazione ed altri servizi di trattamento dei rifiuti
410	Edifici ed opere di edilizia civile
